orgname,orgref,superuser,user,password
iacorg-32l3v,WYJM2JH,iacorg-32l3v_superuser@mailtest.co.uk,iacorg-32l3v_user672@mailtest.co.uk,Pass19word
iacorg-3g9fp,5ZCGAS7,iacorg-3g9fp_superuser@mailtest.co.uk,iacorg-32l3v_user677@mailtest.co.uk,Pass19word
iacorg-3k5ul,SPQP6PA,iacorg-3k5ul_superuser@mailtest.co.uk,iacorg-32l3v_user682@mailtest.co.uk,Pass19word
iacorg-3pn5f,2WJ15CT,iacorg-3pn5f_superuser@mailtest.co.uk,iacorg-32l3v_user687@mailtest.co.uk,Pass19word
iacorg-4azi5,C22RJU0,iacorg-4azi5_superuser@mailtest.co.uk,iacorg-32l3v_user692@mailtest.co.uk,Pass19word
iacorg-4gn0z,6ZHQSOC,iacorg-4gn0z_superuser@mailtest.co.uk,iacorg-32l3v_user697@mailtest.co.uk,Pass19word
iacorg-4qr34,B5JSSVB,iacorg-4qr34_superuser@mailtest.co.uk,iacorg-32l3v_user702@mailtest.co.uk,Pass19word
iacorg-5dc7k,REKPA64,iacorg-5dc7k_superuser@mailtest.co.uk,iacorg-32l3v_user707@mailtest.co.uk,Pass19word
iacorg-5om01,Z8RUAAI,iacorg-5om01_superuser@mailtest.co.uk,iacorg-32l3v_user712@mailtest.co.uk,Pass19word
iacorg-5wna9,TYH0T39,iacorg-5wna9_superuser@mailtest.co.uk,iacorg-32l3v_user717@mailtest.co.uk,Pass19word
iacorg-62nwd,NXM1LS9,iacorg-62nwd_superuser@mailtest.co.uk,iacorg-32l3v_user722@mailtest.co.uk,Pass19word
iacorg-66c53,WJ5LDE6,iacorg-66c53_superuser@mailtest.co.uk,iacorg-32l3v_user727@mailtest.co.uk,Pass19word
iacorg-6l82x,E44NQWD,iacorg-6l82x_superuser@mailtest.co.uk,iacorg-32l3v_user732@mailtest.co.uk,Pass19word
iacorg-732au,DXR01IC,iacorg-732au_superuser@mailtest.co.uk,iacorg-32l3v_user737@mailtest.co.uk,Pass19word
iacorg-7lre4,Z2U6WD7,iacorg-7lre4_superuser@mailtest.co.uk,iacorg-32l3v_user742@mailtest.co.uk,Pass19word
iacorg-7re8g,N8WO0UV,iacorg-7re8g_superuser@mailtest.co.uk,iacorg-32l3v_user747@mailtest.co.uk,Pass19word
iacorg-8f17c,B1BW6D4,iacorg-8f17c_superuser@mailtest.co.uk,iacorg-32l3v_user752@mailtest.co.uk,Pass19word
iacorg-8uehe,04DDLFG,iacorg-8uehe_superuser@mailtest.co.uk,iacorg-32l3v_user757@mailtest.co.uk,Pass19word
iacorg-8v8j4,C9XRY91,iacorg-8v8j4_superuser@mailtest.co.uk,iacorg-32l3v_user762@mailtest.co.uk,Pass19word
iacorg-8zmsl,B9I1IOP,iacorg-8zmsl_superuser@mailtest.co.uk,iacorg-32l3v_user767@mailtest.co.uk,Pass19word
iacorg-9b09y,LX6TTW1,iacorg-9b09y_superuser@mailtest.co.uk,iacorg-32l3v_user772@mailtest.co.uk,Pass19word
iacorg-a2xzn,Y9PXSBV,iacorg-a2xzn_superuser@mailtest.co.uk,iacorg-3g9fp_user178@mailtest.co.uk,Pass19word
iacorg-a3nzu,Z2U6WD7,iacorg-a3nzu_superuser@mailtest.co.uk,iacorg-3k5ul_user267@mailtest.co.uk,Pass19word
iacorg-aunqf,N8WO0UV,iacorg-aunqf_superuser@mailtest.co.uk,iacorg-3pn5f_user459@mailtest.co.uk,Pass19word
iacorg-ayzzv,UJ6XEOY,iacorg-ayzzv_superuser@mailtest.co.uk,iacorg-4azi5_user56@mailtest.co.uk,Pass19word
iacorg-az6di,H3M1Y7U,iacorg-az6di_superuser@mailtest.co.uk,iacorg-4gn0z_user103@mailtest.co.uk,Pass19word
iacorg-b16ab,LL1T96E,iacorg-b16ab_superuser@mailtest.co.uk,iacorg-4gn0z_user108@mailtest.co.uk,Pass19word
iacorg-bhwqv,ET10UYU,iacorg-bhwqv_superuser@mailtest.co.uk,iacorg-4qr34_user186@mailtest.co.uk,Pass19word
iacorg-bk7v4,DXR01IC,iacorg-bk7v4_superuser@mailtest.co.uk,iacorg-5dc7k_user302@mailtest.co.uk,Pass19word
iacorg-bo90b,Z2U6WD7,iacorg-bo90b_superuser@mailtest.co.uk,iacorg-5om01_user151@mailtest.co.uk,Pass19word
iacorg-boeg9,WYJM2JH,iacorg-boeg9_superuser@mailtest.co.uk,iacorg-5wna9_user117@mailtest.co.uk,Pass19word
iacorg-bpm1e,CWSDIT8,iacorg-bpm1e_superuser@mailtest.co.uk,iacorg-66c53_user527@mailtest.co.uk,Pass19word
iacorg-brlaf,UF85YSX,iacorg-brlaf_superuser@mailtest.co.uk,iacorg-66c53_user532@mailtest.co.uk,Pass19word
iacorg-bzlet,WJ5LDE6,iacorg-bzlet_superuser@mailtest.co.uk,iacorg-732au_user273@mailtest.co.uk,Pass19word
iacorg-c1bbd,2GW3I23,iacorg-c1bbd_superuser@mailtest.co.uk,iacorg-8f17c_user318@mailtest.co.uk,Pass19word
iacorg-c5lye,39SH4E0,iacorg-c5lye_superuser@mailtest.co.uk,iacorg-8f17c_user323@mailtest.co.uk,Pass19word
iacorg-c83gh,Y9PXSBV,iacorg-c83gh_superuser@mailtest.co.uk,iacorg-8v8j4_user120@mailtest.co.uk,Pass19word
iacorg-cdkc3,5PDS3UF,iacorg-cdkc3_superuser@mailtest.co.uk,iacorg-8v8j4_user125@mailtest.co.uk,Pass19word
iacorg-cm69s,SQ05S5S,iacorg-cm69s_superuser@mailtest.co.uk,iacorg-8zmsl_user2@mailtest.co.uk,Pass19word
iacorg-cvr51,8JTE0IA,iacorg-cvr51_superuser@mailtest.co.uk,iacorg-9b09y_user290@mailtest.co.uk,Pass19word
iacorg-d1pfw,7T4AH4W,iacorg-d1pfw_superuser@mailtest.co.uk,iacorg-a3nzu_user17@mailtest.co.uk,Pass19word
iacorg-d2t6u,P6UN1FK,iacorg-d2t6u_superuser@mailtest.co.uk,iacorg-aunqf_user360@mailtest.co.uk,Pass19word
iacorg-fgv6h,MBEQ7OG,iacorg-fgv6h_superuser@mailtest.co.uk,iacorg-b16ab_user640@mailtest.co.uk,Pass19word
iacorg-fon06,E0SDZ9N,iacorg-fon06_superuser@mailtest.co.uk,iacorg-bk7v4_user380@mailtest.co.uk,Pass19word
iacorg-g044t,MYUF7UY,iacorg-g044t_superuser@mailtest.co.uk,iacorg-bo90b_user99@mailtest.co.uk,Pass19word
iacorg-g2xx8,F7AB4AI,iacorg-g2xx8_superuser@mailtest.co.uk,iacorg-bpm1e_user610@mailtest.co.uk,Pass19word
iacorg-g9pxj,GXE7P6R,iacorg-g9pxj_superuser@mailtest.co.uk,iacorg-bzlet_user130@mailtest.co.uk,Pass19word
iacorg-gcpo0,63DML07,iacorg-gcpo0_superuser@mailtest.co.uk,iacorg-c1bbd_user160@mailtest.co.uk,Pass19word
iacorg-gd4os,1JQ1T15,iacorg-gd4os_superuser@mailtest.co.uk,iacorg-c5lye_user68@mailtest.co.uk,Pass19word
iacorg-gubcs,VNIF250,iacorg-gubcs_superuser@mailtest.co.uk,iacorg-c5lye_user73@mailtest.co.uk,Pass19word
iacorg-gz05r,GTEN1Y0,iacorg-gz05r_superuser@mailtest.co.uk,iacorg-c83gh_user346@mailtest.co.uk,Pass19word
iacorg-hxqzf,7T4AH4W,iacorg-hxqzf_superuser@mailtest.co.uk,iacorg-cm69s_user442@mailtest.co.uk,Pass19word
iacorg-i8vkm,P6UN1FK,iacorg-i8vkm_superuser@mailtest.co.uk,iacorg-cm69s_user447@mailtest.co.uk,Pass19word
iacorg-2rl15,C9XRY91,iacorg-2rl15_superuser@mailtest.co.uk,iacorg-2ylha_user4@mailtest.co.uk,Pass19word
iacorg-dwd63,UK09CPB,iacorg-dwd63_superuser@mailtest.co.uk,iacorg-aunqf_user365@mailtest.co.uk,Pass19word
iacorg-f8hlz,45OVI5Q,iacorg-f8hlz_superuser@mailtest.co.uk,iacorg-b16ab_user635@mailtest.co.uk,Pass19word
iacorg-fmol8,2OKPA2A,iacorg-fmol8_superuser@mailtest.co.uk,iacorg-bhwqv_user430@mailtest.co.uk,Pass19word
iacorg-hj53q,S1FF9PX,iacorg-hj53q_superuser@mailtest.co.uk,iacorg-cdkc3_user172@mailtest.co.uk,Pass19word

